High;Low;Volume;Periode
10,6960001;10,43999958;11340948;1
10,97599983;10,69799995;51878743;2
11,18999958;10,8920002;24976847;3
11,24600029;10,89999962;11476599;4
10,96800041;10,6619997;5794599;5
10,9119997;10,72999954;4189280;6
10,90200043;10,73999977;4247483;7
11,17800045;10,97000027;8870360;8
11,19999981;11,03199959;4061481;9
11,26599979;11,08600044;4262272;10
11,27600002;11,09200001;19565377;11
11,28999996;11,07199955;56757167;12
11,40999985;11,05000019;34217683;13
11,08399963;10,72000027;23003012;14
10,75399971;10,49199963;24737724;15
10,73600006;10,28199959;10941715;16
10,73400021;10,32400036;10805458;17
11,13399982;10,76599979;8075117;18
11,3739996;10,82999992;6940069;19
11,35000038;11,11200047;6204112;20
11,29399967;11,10599995;6169195;21
11,42599964;11,11400032;9446366;22
11,43200016;11,1619997;6374473;23
11,42599964;11,20400047;5208055;24
11,58600044;11,3920002;7607950;25
11,59399986;11,3739996;6036712;26
11,81400013;11,3739996;6494862;27
11,64400005;11,39000034;8113736;28
11,81599998;11,54399967;6151859;29
11,88199997;11,57999992;6428439;30
11,98600006;11,60599995;8362112;31
11,75;11,43599987;8139495;32
11,97599983;11,6260004;8155716;33
12;11,67599964;8114343;34
12,03600025;11,65600014;7709619;35
11,81799984;11,52999973;5171870;36
11,77000046;11,39999962;6924845;37
11,63199997;11,3579998;6680005;38
11,39799976;10,97999954;13349172;39
11,73600006;11,14999962;9058029;40
11,74600029;11,34200001;13472862;41
11,99199963;11,65200043;9146984;42
12,36600018;11,92000008;14960005;43
12,67599964;11,96399975;19956964;44
11,97999954;11,37199974;12203037;45
12,09599972;11,29199982;17131496;46
12,37199974;11,90999985;10553439;47
12,46800041;11,78600025;15514946;48
11,98799992;11,70800018;8048141;49
11,97999954;11,54800034;10953044;50
11,66399956;11,26799965;8889217;51
11,46800041;11,15799999;7791864;52
11,6420002;11,19799995;10864520;53
11,54800034;11,27600002;7039284;54
11,60000038;11,15999985;15595515;55
11,64999962;11,24199963;9412952;56
11,83199978;11,60599995;4852844;57
12,14400005;11,81000042;7940775;58
12,20400047;11,97999954;7738390;59
12,19400024;11,78999996;4335122;60
12,30599976;11,82999992;16686343;61
12,17000008;11,62199974;6530273;62
12,04599953;11,88000011;4696618;63
12,06200027;11,83399963;5251275;64
12,00500011;11,69999981;4753153;65
12,06499958;11,86999989;6647661;66
12,19999981;11,86499977;9687630;67
12,42000008;12,16499996;6195618;68
12,38000011;12,125;9457273;69
12,82999992;12,33500004;12854634;70
12,93000031;12,76000023;6115807;71
13,27499962;12,65499973;10011614;72
13,57999992;13,23999977;23609735;73
13,81499958;13,53499985;6350740;74
14,07499981;13,625;14694253;75
13,81000042;13,58500004;11462853;76
13,78999996;13,58500004;7636432;77
13,53499985;12,72999954;8472986;78
13,09000015;12,60499954;9003008;79
12,96000004;12,5;5602585;80
12,98499966;12,59500027;7245697;81
13,64999962;12,83500004;8875801;82
14,32999992;13,64999962;18852636;83
14,23999977;13,79500008;7604085;84
14,22999954;13,89000034;6036623;85
14,54500008;14,03999996;7605514;86
14,64000034;14,26500034;10512567;87
14,93999958;14,34500027;10325420;88
14,79500008;13,56999969;38542128;89
13,71500015;13,22000027;9106538;90
14,25500011;13,72500038;5495358;91
14,28499985;13,81000042;4897317;92
14,32999992;13,90999985;3726487;93
14,25;13,97999954;5529766;94
14,79500008;14,35000038;6439375;95
14,875;14,56999969;7055799;96
14,86499977;14,36499977;5227429;97
14,75;14,40499973;6414647;98
14,84000015;14,46000004;8542757;99
14,79500008;14,45499992;8562284;100
15,14999962;14,77999973;13550161;101
15,10499954;14,80500031;7774634;102
15,02999973;14,70499992;8011877;103
15,06499958;14,67000008;11107084;104
15,31000042;14,93999958;20877928;105
15,18999958;14,84000015;10109344;106
15,05500031;14,63500023;4547242;107
15,15999985;14,84000015;3833736;108
15,44999981;15,22999954;3969692;109
16,04500008;15,39000034;6943864;110
16,12000084;15,92500019;4691076;111
16,22999954;15,67000008;6874232;112
15,89500046;15,32999992;7598331;113
15,38000011;14,95499992;8951877;114
15,58500004;15,03499985;4942145;115
15,36999989;14,77499962;11771428;116
15,06999969;14,25;13878650;117
14,43500042;13,73999977;18935339;118
14,09000015;13,68000031;4097982;119
14,32999992;14,06999969;6852123;120
13,96500015;13,53499985;7489873;121
13,93999958;13,30500031;6703082;122
13,82999992;13,39999962;16367245;123
14;13,59500027;9030698;124
14,31999969;13,94499969;11165774;125
14,40999985;14,13500023;11508606;126
14,23499966;13,92500019;4629074;127
14,07999992;13,41499996;5831423;128
13,94999981;13,72999954;5058785;129
13,56499958;12,66499996;9056039;130
12,97000027;12,45499992;6130635;131
13,18000031;12,72500038;5060702;132
13,36499977;12,85499954;14033450;133
13,01500034;12,69999981;16449671;134
12,98999977;12,08500004;24389927;135
12,28999996;11,84500027;22608930;136
12,21000004;11,625;12446567;137
12,02999973;11,73499966;5722933;138
12,28499985;11,94499969;3849808;139
12,11999989;11,91499996;5733650;140
12,26500034;11,98499966;2459427;141
12,14000034;11,64500046;6646965;142
12,06999969;11,73999977;4654759;143
12,23999977;11,81000042;2919950;144
12,52999973;12,29500008;4121187;145
12,61999989;12,34000015;9072919;146
12,60000038;11,64999962;9922886;147
12,23499966;11,98999977;7358759;148
12,19999981;11,81999969;4629294;149
12;11,76000023;4323942;150
12,14999962;11,76000023;4276226;151
12,13500023;11,77499962;4506532;152
11,89500046;11,53499985;5015422;153
12,11499977;11,82499981;11926231;154
12,47999954;11,94999981;5263031;155
12,47999954;12,18000031;6930839;156
12,58500004;12,34500027;4524954;157
12,89999962;12,56999969;4784854;158
12,73499966;12,20499992;3999758;159
12,77999973;12,40499973;5634519;160
12,68000031;12,42500019;3522524;161
13,03999996;12,68000031;4773433;162
13,18000031;12,91499996;5121025;163
13,28499985;12,83500004;4110563;164
13,72999954;13,22000027;5472959;165
13,68999958;13,22999954;4298287;166
13,60999966;13,40499973;3376860;167
13,54500008;13,39000034;3721033;168
13,64999962;13,22500038;2852176;169
13,81499958;13,16499996;4697032;170
13,22000027;12,65999985;11072717;171
13,00500011;12,78499985;3803212;172
13,43999958;12,89999962;4960994;173
13,76500034;13,34000015;4975330;174
13,84000015;13,43999958;4309713;175
13,66499996;12,93000031;7808306;176
13,11499977;12,77999973;4422489;177
13,17000008;12,83500004;3273872;178
13,44499969;13,08500004;11615075;179
13,25;12,78499985;6020883;180
13,03499985;12,71000004;5583192;181
12,93000031;12,24499989;9196798;182
12,38500023;11,88500023;14716127;183
12,15499973;11,70499992;4629897;184
12,19499969;11,89999962;4279604;185
12,36999989;11,85000038;7811223;186
12,15499973;11,76500034;4370197;187
11,92000008;11,18500042;7004593;188
11,47000027;11,05000019;5753260;189
11,70499992;11,31999969;5206047;190
11,90499973;11,32999992;5625187;191
11,86499977;11,46500015;4946081;192
11,99499989;11,68000031;4074554;193
12,25;11,83500004;4660644;194
12,63000011;12,20499992;6618752;195
12,80000019;12,19499969;5219275;196
12,89000034;12,42000008;4748670;197
12,73999977;12,44999981;3655522;198
12,74499989;12,39999962;3522891;199
12,35000038;11,92500019;5712538;200
12,46500015;12,02499962;4330140;201
12,73999977;12,09500027;4147834;202
12,99499989;12,49499989;5201312;203
12,99499989;12,51000023;5589988;204
12,89000034;12,61999989;3729074;205
12,93000031;12,67500019;3391156;206
13,39500046;12,89999962;4438711;207
13,22999954;12,96000004;4579057;208
13,41499996;12,97000027;3956501;209
13,375;13,07499981;6668012;210
